Supplier,CreatedOn,CompletedDate,Time_To_Complete,Total,Guid,SupplierCode,SupplierName
"{'Guid': 'd320ea27-5022-44fe-b03a-7038f3e85d65', 'SupplierCode': 'American OEM', 'SupplierName': 'American OEM'}",2018-04-08,2018-04-09,1 days 05:37:10.548000000,8006.86,d320ea27-5022-44fe-b03a-7038f3e85d65,American OEM,American OEM
"{'Guid': 'd320ea27-5022-44fe-b03a-7038f3e85d65', 'SupplierCode': 'American OEM', 'SupplierName': 'American OEM'}",2018-04-08,2018-04-09,1 days 05:30:08.766000000,440.0,d320ea27-5022-44fe-b03a-7038f3e85d65,American OEM,American OEM
"{'Guid': '997d9738-72e7-4d21-a648-32d763dd990e', 'SupplierCode': 'GLITSA AMERICAN, INC.', 'SupplierName': 'GLITSA AMERICAN, INC.'}",2018-04-08,2018-04-23,15 days 07:14:04.960000000,1428.48,997d9738-72e7-4d21-a648-32d763dd990e,"GLITSA AMERICAN, INC.","GLITSA AMERICAN, INC."
"{'Guid': 'd320ea27-5022-44fe-b03a-7038f3e85d65', 'SupplierCode': 'American OEM', 'SupplierName': 'American OEM'}",2018-04-08,2018-05-14,36 days 00:39:22.999000000,432.0,d320ea27-5022-44fe-b03a-7038f3e85d65,American OEM,American OEM
"{'Guid': '0871166d-a9b7-439c-afdf-3f67c82ba5c4', 'SupplierCode': 'DESIGN HARDWOOD PRODUCTS, INC.', 'SupplierName': 'DESIGN HARDWOOD PRODUCTS, INC.'}",2018-04-08,2018-04-25,17 days 01:34:46.965000000,2201.92,0871166d-a9b7-439c-afdf-3f67c82ba5c4,"DESIGN HARDWOOD PRODUCTS, INC.","DESIGN HARDWOOD PRODUCTS, INC."
"{'Guid': '042f88d1-f621-4177-9d78-f87826d6b9c6', 'SupplierCode': 'From the Forest, LLC', 'SupplierName': 'From the Forest, LLC'}",2018-04-08,2018-05-15,37 days 05:10:33.702000000,3110.25,042f88d1-f621-4177-9d78-f87826d6b9c6,"From the Forest, LLC","From the Forest, LLC"
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-04-08,2018-04-10,2 days 05:00:44.080000000,1856.0,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': 'c9fd9a1a-87ad-467c-a900-19ba1e5eb745', 'SupplierCode': 'L&L HARDWOODS, INC.', 'SupplierName': 'L&L HARDWOODS, INC.'}",2018-04-08,2018-05-01,23 days 00:55:34.233000000,4998.35,c9fd9a1a-87ad-467c-a900-19ba1e5eb745,"L&L HARDWOODS, INC.","L&L HARDWOODS, INC."
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-04-08,2018-04-11,2 days 11:26:34.995000000,6292.23,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '2df86a89-c77e-484c-b81a-2131ea05542e', 'SupplierCode': 'Metroflor Corporation', 'SupplierName': 'Metroflor Corporation'}",2018-04-08,2018-05-25,47 days 02:27:27.577000000,33974.42,2df86a89-c77e-484c-b81a-2131ea05542e,Metroflor Corporation,Metroflor Corporation
