,Filler,Finish,Grills,Norton Misc.,Numbers,Prefinished Flooring,Sandpaper,Sandpaper-Belts,Sandpaper-Buffer,Sandpaper-Edger,Sandpaper-Screens,Stair Treads,Unfinished Flooring,Unfinished Trim
2019-01-01,3823.0759999999996,125596.11800000002,5118.59,180.285,25549.950999999997,31792.874000000003,6295.187,5559.91,3623.01,10756.831000000002,6034.254000000001,1261.137,103578.26400000001,17450.520999999997
2019-01-02,3823.0759999999996,125596.11800000002,5118.59,180.285,25549.950999999997,31792.874000000003,6295.187,5559.91,3623.01,10756.831000000002,6034.254000000001,1261.137,103578.26400000001,17450.520999999997
2019-01-03,3769.5159999999996,116580.835,4935.986000000001,180.285,25248.450999999997,28636.928,6235.887,4907.705999999999,3558.6070000000004,10640.886000000002,6001.684,1261.137,97440.755,17278.559999999998
2019-01-04,3698.666,110357.67700000003,4867.0740000000005,180.285,25248.450999999997,26036.698000000004,6142.081,4554.699999999999,3367.9500000000003,10240.988000000001,6001.684,1261.137,93714.913,17097.565
2019-01-05,3698.666,117998.35999999999,4855.008,180.285,25248.450999999997,26036.698000000004,6142.081,4520.445,3367.9500000000003,10282.906,6001.684,1261.137,93714.913,17040.252
2019-01-06,3698.666,117998.35999999999,4855.008,180.285,25248.450999999997,26036.698000000004,6142.081,4520.445,3367.9500000000003,10282.906,6001.684,1261.137,93714.913,17040.252
2019-01-07,3698.666,117998.35999999999,4855.008,180.285,25248.450999999997,26036.698000000004,6142.081,4520.445,3367.9500000000003,10282.906,6001.684,1261.137,93714.913,17040.252
2019-01-08,3644.2560000000003,117589.34199999999,4819.287,180.285,25248.450999999997,26036.698000000004,6073.081,4482.1269999999995,3367.9500000000003,10283.215,6023.719,1261.137,93589.632,16964.576
2019-01-09,3644.2560000000003,117319.99099999998,5377.992,180.285,25248.450999999997,26036.698000000004,6073.081,5808.276999999998,3646.9740000000006,10436.215,6182.519,1261.137,93589.632,16798.869
2019-01-10,3644.2560000000003,116798.82800000002,5363.992,180.285,25213.143999999997,26036.698000000004,6073.081,5808.276999999998,3646.9740000000006,10434.905999999999,6173.228,1261.137,93589.632,16757.164
2019-01-11,3644.2560000000003,116633.14,5363.992,180.285,25156.652999999995,26036.698000000004,6073.081,5808.276999999998,3646.9740000000006,10434.905999999999,6319.628,1261.137,93589.632,16730.034
2019-01-12,3532.943,112029.05400000002,5101.68,180.285,25156.652999999995,26036.698000000004,6073.081,5752.596999999999,3646.9740000000006,10376.207,6319.628,2514.5069999999996,85522.386,16581.977
2019-01-13,3532.943,112029.05400000002,5101.68,180.285,25156.652999999995,26036.698000000004,6073.081,5752.596999999999,3646.9740000000006,10376.207,6319.628,2514.5069999999996,85522.386,16581.977
2019-01-14,3532.943,112029.05400000002,5101.68,180.285,25156.652999999995,26036.698000000004,6073.081,5752.596999999999,3646.9740000000006,10376.207,6319.628,2514.5069999999996,85522.386,16581.977
