,,Adhesives,Applicators,Fasteners,Filler,Finish,Grills,Lagler Parts,Norton Misc.,Numbers,Parts,Prefinished Flooring,Prefinished Trim,Sandpaper,Sandpaper-Belts,Sandpaper-Buffer,Sandpaper-Edger,Sandpaper-Rolls,Sandpaper-Screens,Stair Treads,Tools,Underlayment,Unfinished Flooring,Unfinished Trim,WPC,Wickham Miscellaneous
2019-01-01,8454.329,3309.037,3873.4749999999995,14242.195,5544.759,155067.0020000002,11261.956999999999,2041.6499999999999,321.045,29248.005999999994,5136.621000000001,360028.9380000001,9483.076999999997,9073.937,11333.496000000001,5239.346999999998,20206.162000000008,3415.5579999999995,10320.467000000002,5030.257,6779.952,14928.726999999999,146211.69299999997,22810.368,61176.69100000003,3822.1389999999983
2019-01-02,8454.329,3309.037,3873.4749999999995,14242.195,5544.759,155067.0020000002,11261.956999999999,2041.6499999999999,321.045,29248.005999999994,5136.621000000001,360028.9380000001,9483.076999999997,9073.937,11333.496000000001,5239.346999999998,20206.162000000008,3415.5579999999995,10320.467000000002,5030.257,6779.952,14928.726999999999,146211.69299999997,22810.368,61176.69100000003,3822.1389999999983
2019-01-03,8443.459,3298.037,3839.7549999999997,14142.195,5491.1990000000005,141251.28200000018,10751.259999999998,2041.6499999999999,321.045,28946.505999999994,5136.621000000001,324062.889,9483.076999999997,9014.636999999999,10734.472000000002,5174.943999999998,20090.217000000008,3415.5579999999995,10294.977,5030.257,6711.326,14331.698,129000.34599999999,22588.007,59625.93700000003,3751.4709999999986
2019-01-04,8213.025,3298.037,3839.7549999999997,12958.116999999998,5420.349000000001,135016.70200000005,10734.348,2041.6499999999999,321.045,28946.505999999994,5136.621000000001,319134.47900000005,9483.076999999997,8816.081,10381.466000000004,4984.2869999999975,19647.39000000001,3415.5579999999995,10294.977,5030.257,6695.945,14306.454,128838.14399999999,22407.012000000002,59625.93700000003,3751.4709999999986
2019-01-05,8178.54,3298.037,3746.643,12958.116999999998,5420.349000000001,142657.38500000018,10722.282,2041.6499999999999,321.045,28946.505999999994,5136.621000000001,316789.19400000013,9483.076999999997,8816.081,10347.211000000003,4984.2869999999975,19689.308000000008,3415.5579999999995,10294.977,5030.257,6695.945,14306.454,128838.14399999999,22349.699000000004,57027.12500000003,3751.4709999999986
2019-01-06,8178.54,3298.037,3746.643,12958.116999999998,5420.349000000001,142657.38500000018,10722.282,2041.6499999999999,321.045,28946.505999999994,5136.621000000001,316789.19400000013,9483.076999999997,8816.081,10347.211000000003,4984.2869999999975,19689.308000000008,3415.5579999999995,10294.977,5030.257,6695.945,14306.454,128838.14399999999,22349.699000000004,57027.12500000003,3751.4709999999986
2019-01-07,8178.54,3298.037,3746.643,12958.116999999998,5420.349000000001,142657.38500000018,10722.282,2041.6499999999999,321.045,28946.505999999994,5136.621000000001,316789.19400000013,9483.076999999997,8816.081,10347.211000000003,4984.2869999999975,19689.308000000008,3415.5579999999995,10294.977,5030.257,6695.945,14306.454,128838.14399999999,22349.699000000004,57027.12500000003,3751.4709999999986
2019-01-08,8178.54,3290.037,3717.862,12958.116999999998,5365.939,142241.0470000002,10686.561,2041.6499999999999,321.045,28946.505999999994,5136.621000000001,312004.5980000001,9483.076999999997,8747.081,10308.893,4984.2869999999975,19692.23600000001,3415.5579999999995,10323.675000000001,4437.407,6695.945,14293.832,128712.86299999998,22274.023,56362.64600000003,3751.4709999999986
2019-01-09,8178.54,3050.037,3678.656,12925.027,5365.939,141919.39500000016,11201.066,2041.6499999999999,321.045,28946.505999999994,5136.621000000001,303068.491,9483.076999999997,8747.081,11635.042999999998,5263.310999999998,19845.236000000008,3415.5579999999995,10482.475,4437.407,6660.735,14153.501,128712.86299999998,22108.316,56362.64600000003,3731.1109999999985
2019-01-10,8179.861999999999,2945.307,3652.9030000000002,12925.027,5365.939,141387.45200000022,11187.066,2041.6499999999999,321.045,28911.198999999993,5136.621000000001,297845.44099999993,9449.466999999999,8747.081,11635.042999999998,5263.310999999998,19843.927000000007,3415.5579999999995,10473.184000000001,4437.407,6635.319,13893.667999999998,128712.86299999998,22066.610999999997,56362.64600000003,3731.1109999999985
2019-01-11,8163.914,2945.307,3645.389,12925.027,5365.939,141147.8780000002,11187.066,2041.6499999999999,321.045,28854.708,5136.621000000001,298553.54099999997,9449.466999999999,8747.081,11635.042999999998,5263.310999999998,19843.927000000007,3415.5579999999995,10619.584000000003,4437.407,6635.319,13893.667999999998,128712.86299999998,22039.481,56362.64600000003,3731.1109999999985
