AverageLandPrice,CreatedBy,CreatedOn,DefaultPurchasePrice,DefaultSellPrice,Guid,IsAssembledProduct,IsBatchTracked,IsComponent,IsSellable,IsSerialized,LastModifiedBy,LastModifiedOn,MaxStockAlertLevel,MinStockAlertLevel,NeverDiminishing,Notes,Obsolete,ProductCode,ProductDescription,ProductGroup,SellPriceTier1,SellPriceTier10,SellPriceTier2,SellPriceTier3,SellPriceTier4,SellPriceTier5,SellPriceTier6,SellPriceTier7,SellPriceTier8,SellPriceTier9,Supplier
5.59,jon@iwhardwood.com,/Date(1523191890680)/,5.77,8.89,b0ad60e3-4322-439f-9bfb-0d5a6f0785a5,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542635423)/,25.0,5.0,False,"{""BoxQuantity"":10, ""Stock"": ""True""}",False,3MBelReg729100,7-7/8'x29-1/2' 100 Grit Regalite belt,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '7.1900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '7.3900'}","{'Name': 'Premium Contractor', 'Value': '7.6900'}","{'Name': 'Contractor 1', 'Value': '8.1900'}","{'Name': 'Contractor 2', 'Value': '8.4900'}","{'Name': 'Builder', 'Value': '8.4900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010401380', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
5.8328,jon@iwhardwood.com,/Date(1523191890740)/,5.77,8.89,56f3791c-55a8-464e-bac5-17b005d71a96,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542635470)/,36.0,6.0,False,"{""BoxQuantity"":10, ""Stock"": ""True""}",False,3mBelReg729120,7-7/8'x29-1/2' 120 Grit Regalite belt,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '7.1900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '7.3900'}","{'Name': 'Premium Contractor', 'Value': '7.6900'}","{'Name': 'Contractor 1', 'Value': '8.1900'}","{'Name': 'Contractor 2', 'Value': '8.4900'}","{'Name': 'Builder', 'Value': '8.4900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010320731', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
6.3,jon@iwhardwood.com,/Date(1523191890833)/,6.89,10.59,f6742120-b271-4686-9f43-eda3b8347dc6,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542635533)/,25.0,5.0,False,"{""BoxQuantity"":10, ""Stock"": ""True""}",False,3MBelReg72936,7-7/8'x29-1/2' 36 Grit Regalite belt,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '8.5900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '8.7900'}","{'Name': 'Premium Contractor', 'Value': '9.1900'}","{'Name': 'Contractor 1', 'Value': '9.7900'}","{'Name': 'Contractor 2', 'Value': '10.0900'}","{'Name': 'Builder', 'Value': '10.0900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010341217', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
6.62,jon@iwhardwood.com,/Date(1523191890913)/,6.62,10.19,e40d86ff-9a63-48c9-adff-b5c7bae01bae,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542635580)/,60.0,10.0,False,"{""BoxQuantity"":10, ""Stock"": ""True""}",False,3MBelReg72940,7-7/8'x29-1/2' 40 Grit Regalite belt,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '9.0900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '9.2900'}","{'Name': 'Premium Contractor', 'Value': '9.6900'}","{'Name': 'Contractor 1', 'Value': '10.3900'}","{'Name': 'Contractor 2', 'Value': '10.6900'}","{'Name': 'Builder', 'Value': '10.6900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010384178', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
5.1,jon@iwhardwood.com,/Date(1523191890976)/,6.39,9.79,3b5c21de-e4a7-4994-bac8-ec5b439ff6a8,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542635613)/,25.0,5.0,False,"{""BoxQuantity"":10, ""Stock"": ""True""}",False,3MBelReg72950,7-7/8'x29-1/2' 50 Grit Regalite belt,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '7.9900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '8.1900'}","{'Name': 'Premium Contractor', 'Value': '8.4900'}","{'Name': 'Contractor 1', 'Value': '9.0900'}","{'Name': 'Contractor 2', 'Value': '9.3900'}","{'Name': 'Builder', 'Value': '9.3900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010298014', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
6.18,jon@iwhardwood.com,/Date(1523191891256)/,6.18,9.49,3d0194d5-5d82-480c-acf7-67fbdf36e513,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542635643)/,49.0,9.0,False,"{""BoxQuantity"":10, ""Stock"": ""True""}",False,3MBelReg72960,7-7/8'x29-1/2' 60 Grit Regalite belt,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '8.4900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '8.6900'}","{'Name': 'Premium Contractor', 'Value': '9.0900'}","{'Name': 'Contractor 1', 'Value': '9.6900'}","{'Name': 'Contractor 2', 'Value': '9.9900'}","{'Name': 'Builder', 'Value': '9.9900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010401379', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
5.93,jon@iwhardwood.com,/Date(1523191891756)/,5.93,9.09,b24276d8-640a-4948-837c-86d411837c2e,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542635676)/,60.0,10.0,False,"{""BoxQuantity"":10, ""Stock"": ""True""}",False,3MBelReg72980,7-7/8'x29-1/2' 80 Grit Regalite belt,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '8.1900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '8.3900'}","{'Name': 'Premium Contractor', 'Value': '8.6900'}","{'Name': 'Contractor 1', 'Value': '9.2900'}","{'Name': 'Contractor 2', 'Value': '9.5900'}","{'Name': 'Builder', 'Value': '9.5900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010353431', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
5.5611,jon@iwhardwood.com,/Date(1523191894350)/,6.39,9.79,97cba02a-1fc4-4092-8c87-1ec6df96b078,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542638600)/,60.0,10.0,False,"{""BoxQuantity"":5, ""Stock"": ""True""}",False,3MDriWhi16,3M Driver Pad White 16',"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '7.9900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '8.1900'}","{'Name': 'Premium Contractor', 'Value': '8.4900'}","{'Name': 'Contractor 1', 'Value': '9.0900'}","{'Name': 'Contractor 2', 'Value': '9.3900'}","{'Name': 'Builder', 'Value': '9.3900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7000126477', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
0.43,jon@iwhardwood.com,/Date(1523191893256)/,0.43,0.6900000000000001,2a4bf541-0ca2-426f-af5b-0e65ae91d0a9,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542631843)/,1088.0,188.0,False,"{""BoxQuantity"":300, ""Stock"": ""True""}",False,3MEdg7516120,7' x 5/16' 120 Grit Edger Disk,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '0.5900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '0.5900'}","{'Name': 'Premium Contractor', 'Value': '0.5900'}","{'Name': 'Contractor 1', 'Value': '0.6900'}","{'Name': 'Contractor 2', 'Value': '0.6900'}","{'Name': 'Builder', 'Value': '0.6900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '6963', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
0.43,jon@iwhardwood.com,/Date(1523191893380)/,0.43,0.6900000000000001,a8ac5bf7-3612-4f2f-9fc9-2696db081147,False,False,False,True,False,jon@iwhardwood.com,/Date(1563542631890)/,150.0,100.0,False,"{""BoxQuantity"":300, ""Stock"": ""True""}",False,3MEdg7516150,7' x 5/16' 150 Grit Edger Disk,"{'GroupName': 'Sandpaper', 'Guid': 'a7692de5-79e8-4108-b3d8-5ccbb15004b7', 'LastModifiedOn': '/Date(1523191890600)/'}","{'Name': 'Premium Retailer', 'Value': '0.4900'}","{'Name': 'Tier 10', 'Value': '0.0000'}","{'Name': 'Retail 1', 'Value': '0.5900'}","{'Name': 'Premium Contractor', 'Value': '0.5900'}","{'Name': 'Contractor 1', 'Value': '0.5900'}","{'Name': 'Contractor 2', 'Value': '0.5900'}","{'Name': 'Builder', 'Value': '0.5900'}","{'Name': 'Tier 7', 'Value': '0.0000'}","{'Name': 'Tier 8', 'Value': '0.0000'}","{'Name': 'Tier 9', 'Value': '0.0000'}","{'SupplierProductCode': '7010401369', 'SupplierProductDescription': None, 'SupplierProductPrice': None, 'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}"
